State,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Foreign Country,year
Indiana,150649,"2,206",818,"2,123",754,"7,740","3,164",427,121,0,"14,798","1,606",81,0,"29,426",N/A,854,701,"12,257",784,24,668,"1,033","8,137","1,579",529,"2,691",83,7,"1,022",340,"2,661",974,"8,782","2,634",353,"12,493",644,492,"3,117",47,"1,221",338,"3,310","9,485","1,804",86,"4,401","1,635",461,"1,738",0,54,29905,2023
Iowa,73176,130,209,"3,078",114,"4,406","3,642",33,168,186,"4,186",965,52,703,"11,780",678,N/A,"2,302",448,"1,605",154,595,465,"1,496","4,755",563,"3,238",421,"7,341",906,0,169,20,845,"1,812",99,409,630,460,669,0,299,"2,209","1,324","3,634",99,99,"1,094","1,022",0,"3,321",343,0,16164,2023
Kansas,77138,881,174,"2,365",884,"3,160","4,591",92,61,0,"2,737","1,737",0,925,"1,906",846,"1,648",N/A,969,"1,643",0,443,97,"1,369","1,478",326,"18,573",75,"3,841","2,049",320,543,267,"1,505",494,689,"2,050","3,534",248,"1,176",21,218,354,"1,480","7,229",131,0,"1,827",980,96,609,497,574,20355,2023
Kentucky,106797,"1,496",549,"2,484",373,"5,838","1,858",138,0,133,"5,243","3,491","1,020",610,"4,407","8,310",577,502,N/A,"2,343",160,633,245,"3,619",229,94,"1,734",758,93,"1,445","3,667",388,0,"2,370","2,452",0,"13,249","1,451",396,"2,282",0,"1,126",841,"14,444","5,471",259,0,"2,754","4,273","1,565","1,427",0,0,27761,2023
Louisiana,69464,"2,558",229,669,"3,228","2,424",777,778,0,0,"4,686","2,407",313,"1,306","1,289",854,104,789,207,N/A,0,"1,289","1,025",257,"1,262","7,272",977,458,0,"2,865",166,945,88,532,"2,261","1,345",453,846,550,533,0,338,830,"1,883","18,446",179,0,"1,188",752,56,50,0,339,21811,2023
Maine,38089,124,274,375,56,"1,553","1,178",948,226,0,"4,008",81,140,16,"1,223",0,0,77,48,18,N/A,700,"5,670",162,422,654,2,15,30,592,"5,715","1,137",116,"2,330",609,126,755,0,469,"1,454",528,741,0,467,"1,925",91,706,"1,022",689,586,31,0,0,4590,2023
Maryland,162674,431,142,"2,202",128,"10,051","1,276","1,908","5,245","20,296","8,205","3,790","1,352",270,"1,213","1,052","1,054",217,603,486,428,N/A,"4,455","1,079","1,073",0,"1,221",242,16,147,368,"7,170","1,401","14,439","6,501",0,"5,145","1,204",913,"16,851","1,253","3,369",0,724,"5,592","1,801",228,"21,670","1,526","3,739",0,198,231,46241,2023
Massachusetts,145021,97,0,"1,427",50,"12,160","2,017","10,437",397,"2,214","12,758","2,897",109,201,"3,187","1,014",227,667,0,762,"2,391","4,214",N/A,"1,209",772,96,703,395,125,"1,249","11,508","6,272","1,123","16,247","5,217",0,"3,804",78,386,"9,392","7,264","1,367",64,"3,996","6,165",380,"1,430","5,186","1,523",234,752,858,"1,605",67287,2023
Michigan,135115,718,119,"4,049",603,"9,765","3,698","1,192",0,262,"14,236","3,394",780,658,"11,766","11,338",719,"1,077","2,013","1,759",270,"1,565",989,N/A,"1,388",395,"1,956",301,176,"1,412",404,"2,352","1,056","4,383","4,514",444,"8,851","1,881","2,051","3,835",0,"1,608",869,"2,693","10,011","1,610",218,"2,521","3,409",517,"5,261",29,349,56008,2023
Minnesota,100277,404,832,"4,770",920,"4,505","3,884",794,72,687,"5,844","1,898",531,450,"6,089","1,370","5,689","1,436","1,142",221,19,716,952,"2,884",N/A,416,"1,950",537,"2,343",443,352,299,832,"1,502","1,350","6,062","1,063",842,"2,320","1,702",381,733,"2,867","1,309","4,400",862,0,"1,716","3,400",158,"15,404",925,503,30194,2023
Mississippi,64610,"6,151",223,"1,356","1,451","2,921",106,99,611,0,"5,839","4,016",260,394,"1,365",426,"1,090",49,938,"4,518",89,330,478,181,0,N/A,855,0,"1,199","1,168",0,288,0,467,"1,717",0,"1,021",0,124,402,0,985,89,"13,818","6,880",0,0,"1,028","1,135",0,543,0,126,9764,2023
Missouri,143688,852,676,"5,699","7,548","8,146","5,846",667,189,57,"5,471","5,555",643,780,"15,326","3,104","4,155","20,692","2,603","1,978",148,960,596,"1,714","1,701","1,600",N/A,579,636,"1,656",214,488,969,"3,534","3,214",398,"2,885","4,633",687,"3,178",256,"1,226",429,"4,548","9,322","1,901",104,"2,006","1,615",89,"1,455",960,763,22833,2023
Montana,36775,73,549,823,416,"5,577","2,118",0,0,31,628,460,90,"2,361",539,23,438,232,218,5,431,189,111,322,"1,439",36,36,N/A,620,531,31,51,649,58,0,799,79,257,"2,713",847,0,797,135,79,"2,417","2,246",143,678,"5,214",0,158,"1,128",0,2597,2023
Nebraska,48590,666,107,"1,367",937,"1,904","5,254",0,0,51,"2,296",955,162,"1,128","2,336",867,"4,860","2,179",370,114,0,371,80,454,"1,233",32,"2,886",250,N/A,560,493,49,"1,007",711,943,445,841,225,162,954,0,445,"2,767",373,"2,475",301,0,"2,977",825,0,438,740,48,12859,2023
