State,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Foreign Country,year
Indiana,149331,792,"1,118","4,953","2,888","7,769","3,586",687,25,716,"7,474","2,326","1,133","1,994","31,015",N/A,"1,364",823,"9,350","1,328",135,"1,739","1,308","13,184","1,742",116,"1,907",401,446,"2,049",554,"1,907",825,"4,124","2,157",299,"10,634",521,"1,461","2,209","1,177","1,206",0,"3,062","8,276","1,655",0,"2,315","2,282",147,"2,010",142,366,28633,2022
Iowa,72231,180,118,"2,264",580,"2,349","1,932",4,0,178,"3,546",289,"1,154",519,"16,504",402,N/A,780,356,"1,095",69,653,3,"1,932","5,386",408,"3,657",199,"6,777","1,033",49,795,232,381,804,320,727,915,181,923,121,610,"2,376",355,"3,856","1,250",32,291,786,0,"4,734",126,308,10675,2022
Kansas,94208,"1,371",218,"1,519","1,016","5,520","7,359",0,49,57,"4,694","3,284",487,121,"2,766","2,828","2,134",N/A,811,"1,730",0,192,803,936,"1,606",0,"20,905",47,"3,021",971,0,108,477,"1,865",655,29,"1,834","6,466",617,373,0,18,194,"2,019","7,767","1,366",79,851,"3,475",0,290,"1,280",780,10517,2022
Kentucky,113197,"1,218",182,"2,618",343,"5,985","2,182",863,0,156,"8,062","4,941",462,787,"6,821","12,947",497,435,N/A,397,202,903,904,"2,458",192,478,"2,688",154,412,509,152,36,287,"2,200","3,392",0,"12,646",211,801,"1,348",453,"3,322",0,"12,561","7,630","1,203",23,"2,314","3,235","2,679",831,77,127,16108,2022
Louisiana,75330,"1,332",432,315,"2,429","4,847","3,329",698,0,343,"5,089","3,215",0,277,"1,223",266,108,159,685,N/A,83,912,211,"2,062",719,"3,858","1,633",0,238,764,0,"2,288",191,"2,946","1,272",111,"3,427","2,717",421,597,205,"1,814",0,"1,286","17,663",903,29,"1,824","2,021",45,343,0,119,20072,2022
Maine,41618,274,11,138,27,"3,552","1,332","1,243",0,220,"2,911",358,405,0,517,9,6,77,85,139,N/A,114,"8,663",311,410,90,420,475,285,324,"5,733",759,87,"2,885",675,0,403,0,0,"1,711","1,134",295,159,520,861,0,985,"1,198","1,514",41,262,0,0,4502,2022
Maryland,139784,"1,256",364,"1,439",67,"7,198","1,148","1,147","4,880","17,770","8,425","3,193","3,306",201,"3,134",713,81,569,254,732,474,N/A,"2,686","1,470","1,483","1,055",975,74,37,"1,288",572,"6,151",794,"9,453","4,152",328,"1,963",235,372,"12,481","1,593","5,074",51,"1,688","4,917",176,359,"19,478","1,774","1,812",350,592,893,52184,2022
Massachusetts,171077,"1,082",154,"2,251",904,"18,543","2,186","9,503",319,"1,540","11,098","2,024","1,440",345,"4,060","1,616",316,44,499,"1,188","4,545","3,404",N/A,"2,683","1,426",327,"3,450",351,222,467,"11,502","7,670",330,"21,186","3,934",250,"4,031",475,"1,632","8,009","11,290","3,379",0,"1,407","7,517","1,491","2,941","4,232","3,006",240,568,0,"1,587",73744,2022
Michigan,157955,"1,846",487,"3,772",640,"13,939","4,589","1,038",510,"1,685","17,557","3,404",69,249,"10,942","9,723",784,"3,274","2,067",781,555,"1,513","1,791",N/A,"3,070",946,"3,446",745,263,"3,291",278,"3,290",685,"6,161","5,852",0,"10,791",241,"1,832","3,165",232,"3,554",230,"4,933","8,529","1,855",0,"4,323","1,983",33,"5,786","1,226",513,41070,2022
Minnesota,117016,732,269,"4,234",713,"6,908","3,620",676,312,466,"4,521",892,199,340,"7,131","3,276","4,403","1,105",179,316,100,"2,514","1,005","1,923",N/A,921,"2,232","1,459","3,343","2,164",48,829,671,"3,196","2,300","10,946","1,567",210,"1,513","3,524",172,641,"3,757",65,"6,506",563,0,"3,401","2,255",168,"18,702",29,450,25082,2022
Mississippi,69948,"5,444",90,"1,848","1,290","1,638","2,701",26,127,0,"6,611","3,094",559,557,847,872,132,567,857,"10,360",10,394,402,512,311,N/A,686,0,932,693,0,106,0,113,"1,715",0,131,272,280,335,63,"1,356",0,"11,406","8,312",63,47,"1,506","2,090",150,415,28,140,13069,2022
Missouri,163254,570,414,"3,576","9,590","12,107","8,042",203,0,303,"9,758","3,395",729,599,"20,646","3,411","6,473","22,333",735,"1,359",380,864,"1,239","1,170","3,292","1,733",N/A,0,"2,713","2,291",441,"2,037",744,"2,742","1,162",150,"2,876","3,488","1,124","2,726",225,"2,169",457,"1,829","9,168","2,206",237,"3,701","4,333",511,"2,087",916,0,17998,2022
Montana,48165,168,498,"2,415",32,"4,660","3,440",24,0,93,"1,993",563,612,"2,244",617,693,392,57,15,857,515,69,158,490,"1,234",229,"1,092",N/A,675,"1,281",0,62,582,441,"1,507","1,540","1,095",938,"3,691",176,0,41,438,719,"1,357","2,570",156,64,"5,225",0,"1,436","1,011",0,2885,2022
Nebraska,49159,"1,418",12,"3,661",202,"1,535","6,422",80,105,0,"1,203",447,174,531,"1,295",147,"5,960","2,912",104,496,100,236,800,235,"1,180",274,"3,627",425,N/A,707,101,318,141,554,538,500,408,637,112,698,186,263,"1,686",22,"4,285",255,0,180,"1,630",466,258,"1,633",12,10291,2022
Nevada,127406,"1,007","1,537","6,888",771,"48,836","4,522",587,54,106,"2,360",842,"3,380",780,"3,845","1,436","1,631",234,275,"2,125",0,317,748,"2,675","1,863",970,777,691,462,N/A,85,829,591,"3,795","2,053",404,985,288,"2,942","2,167",0,101,0,"2,606","6,946","4,113",90,"1,436","6,212",201,"1,316",527,574,13387,2022
New Hampshire,49782,0,209,430,0,"2,974","1,025","2,087",0,257,"1,938",416,251,0,412,249,130,0,0,0,"2,743",726,"23,605",0,275,0,49,83,0,496,N/A,699,0,"1,939","1,016",0,579,98,39,"1,247","1,000",126,106,244,"1,239",435,"2,073",529,58,0,0,0,0,4585,2022
New Jersey,175023,565,0,"1,077",221,"6,543","1,905","1,417","1,463","1,625","9,627",961,"1,215",0,"2,484","2,710",165,54,357,753,287,"3,249","4,383",985,"1,400",0,299,0,0,965,157,N/A,228,"75,103","3,264",86,"1,991",922,108,"31,309",883,"2,817",0,366,"5,690",223,310,"4,689","1,179",262,726,0,"1,975",77334,2022
New Mexico,72095,316,301,"6,862",205,"8,897","7,846",391,61,269,"2,164","1,162",219,866,"1,261",0,"1,343",423,671,304,107,457,364,364,373,144,"1,237",313,380,"1,621",210,844,N/A,"2,467","1,114",0,"1,186",393,503,"1,114",126,67,770,271,"16,986","1,959",0,"1,749","2,468",0,440,507,0,9429,2022
New York,301461,804,387,"4,661",430,"34,681","5,720","14,981","2,179","5,861","21,300","8,889",475,451,"8,679","2,426","1,788","2,097","1,167",719,"2,949","7,787","20,673","3,851","1,922",769,"2,589","1,092",640,"2,215","3,663","38,771",455,N/A,"10,915",47,"3,714","3,095","3,883","28,184","1,993","3,432",219,"2,164","12,233","1,182","4,092","11,990","4,683",231,"3,411",922,"3,323",134077,2022
North Carolina,341582,"3,872","1,900","5,619","2,057","22,891","7,298","4,250","1,184","1,399","34,920","22,551","3,685",734,"7,931","4,829","1,567","2,392","2,152","2,191","2,021","12,924","6,781","4,295","3,518",582,"4,786",231,641,"4,196","2,698","10,750",936,"25,024",N/A,116,"10,094","1,736","2,019","11,683","1,736","27,961",742,"9,049","16,332","2,942",550,"33,919","3,962","3,016","2,294",626,"1,153",57126,2022
North Dakota,34536,78,453,535,34,"1,989",912,0,0,80,675,433,39,338,458,324,478,78,19,506,25,94,51,124,"13,047",5,144,"2,496",131,277,2,52,"1,281",526,23,N/A,0,507,638,128,0,0,"1,433",56,"1,745",349,0,113,"1,040",0,"2,376",444,836,4197,2022
Ohio,200809,"3,028",168,"5,224","1,804","11,924","4,849",675,706,180,"16,831","4,155","1,187",514,"8,652","12,230","1,380",960,"13,836","2,047",250,"3,284","3,523","12,753","1,972",181,"2,945",238,274,"1,334",152,"6,277",264,"8,431","5,592",478,N/A,510,"1,922","11,399",381,"4,476",205,"6,283","10,239","1,670",516,"7,309","2,929","11,095","3,514",63,"1,555",49272,2022
Oklahoma,117788,846,"1,124","4,822","4,277","15,200","5,902","1,038",314,272,"3,478","2,576","1,164",422,"3,052",449,380,"7,440",657,"2,140",205,213,604,770,778,722,"5,711",729,231,"1,989",57,60,"1,388","1,840","2,613",443,943,N/A,"3,187",757,0,658,750,"1,988","26,440","1,003",0,"2,152","3,811",432,"1,514",247,205,18008,2022
Oregon,128359,216,236,"6,108",422,"36,429","4,827",267,0,61,"3,501","1,230","2,099","7,508","3,266",642,978,562,53,"1,190",626,687,"2,062","1,139","1,525",358,120,"2,723",726,"2,049",102,833,"1,057","3,712",775,278,"2,302",834,N/A,624,0,828,261,"1,819","3,534","2,390",260,539,"25,457",0,"1,056",88,0,17424,2022
Pennsylvania,262700,775,519,"5,561",624,"16,336","3,840","2,816","8,158","1,664","16,014","2,982",193,"1,962","5,659","1,498","1,051",63,"1,371","2,744","1,205","22,247","7,541","3,322","1,239","1,141","1,160",593,75,"1,555","1,260","40,517",386,"44,807","9,687",0,"10,436",263,"1,530",N/A,"1,206","4,706",36,"4,227","8,544",293,247,"11,888","2,687","2,442","3,401",229,"3,291",53681,2022
Rhode Island,40311,184,0,662,85,919,0,"2,896",49,501,"3,951",369,420,230,355,0,210,0,84,86,310,"1,143","12,606",158,234,67,"1,063",0,0,309,261,"1,330",97,"2,324",468,215,120,0,152,"1,543",N/A,"1,100",0,172,"2,684",618,466,786,662,0,243,179,72,8533,2022
South Carolina,219707,"1,438",332,"2,628",819,"15,035","2,472","4,437","2,007","1,234","14,769","19,121",191,387,"5,342","3,136",973,914,"1,832","2,225","1,080","7,891","5,109","1,829","1,234","2,505","2,362",778,54,388,"2,191","7,926",804,"15,537","36,324",653,"6,059","1,338","1,561","9,377",720,N/A,30,"4,374","8,811","1,118","1,206","11,446","5,097","1,195",989,429,582,21386,2022
South Dakota,31300,0,165,"1,446",342,957,726,0,0,0,328,"2,134",729,106,29,29,"2,939",438,60,320,0,0,76,375,"6,934",114,627,"1,363","2,109",838,0,66,401,52,441,645,120,0,"1,314",129,0,208,N/A,340,832,195,0,373,"1,001",0,487,"1,512",0,3559,2022
Tennessee,225969,"9,375","1,025","4,584","7,202","22,565","4,105",936,114,391,"25,318","14,770",430,"1,332","12,602","4,067",332,744,"8,227","4,772",0,"2,635","2,424","5,843","1,809","9,491","3,102",556,981,"1,034",528,"3,517",146,"5,821","7,391",94,"5,708","1,548","2,016","6,568",688,"6,557",592,N/A,"12,862","2,567",184,"9,450","4,661",486,"3,494",325,434,30711,2022
Texas,668338,"8,618","3,943","22,634","18,562","102,442","24,511","4,973","1,817","1,461","41,747","22,324","6,970","3,553","25,272","10,167","7,080","8,257","8,006","25,192","1,910","13,711","9,565","13,692","9,423","8,177","12,766","2,224","4,296","12,645","1,593","12,949","17,455","30,890","17,975","2,791","12,423","24,318","12,894","12,578",346,"6,016","1,940","12,617",N/A,"10,887",416,"20,705","21,083","1,232","9,388","1,904","2,441",233751,2022
Utah,91341,609,338,"5,357",690,"18,669","5,327",161,0,0,"3,025",398,"1,299","7,774","1,456",111,60,247,702,34,501,"1,030","1,391","1,263",980,79,"1,723",709,233,"3,549",208,563,"1,338","2,236","1,348",227,929,547,"2,413","1,366",367,"1,196",85,730,"7,070",N/A,554,"1,675","8,845",108,391,"1,430",783,18505,2022
Vermont,26151,0,203,264,428,855,230,"1,247",142,307,873,143,121,145,404,219,333,0,320,25,"1,068",842,"4,760",201,47,140,19,327,0,208,"1,826","1,659",103,"3,196",996,0,20,0,287,873,80,93,0,18,"1,128",12,N/A,"1,215",646,0,128,0,0,3752,2022
Virginia,266970,"1,794","1,513","3,478",301,"19,036","4,485","1,792",707,"13,582","23,766","6,689","1,852","1,353","5,881","4,800",792,"3,130","2,105","1,978",161,"28,470","4,709","3,808","1,703","2,049","2,025",534,824,"1,536",616,"11,155",610,"17,516","21,395",0,"6,151","2,290","2,428","16,830",384,"7,680",0,"5,249","13,359","1,079",324,N/A,"6,877","4,811","3,312",51,"1,003",60986,2022
Washington,248355,488,"3,048","7,237","1,105","49,968","9,396",795,146,279,"8,368","5,574","7,392","10,557","4,772","1,118","1,512","1,161",816,"1,222",835,"2,038","5,773","3,541","5,002",680,"3,187","3,245",766,"5,524",731,"2,943","2,014","4,732","5,849",230,"3,515","1,088","36,061","3,789",463,"3,831",593,"3,331","19,245","5,400",392,"7,406",N/A,121,823,253,195,54706,2022
West Virginia,43493,478,0,240,121,879,210,395,58,237,"3,418","2,903",35,0,806,"1,159",0,170,981,371,0,"5,246",8,"1,056",31,91,0,384,0,407,0,290,138,949,"2,217",0,"4,356",98,332,"4,299",0,333,126,458,580,766,226,"8,279",0,N/A,192,170,0,2659,2022
Wisconsin,120434,635,774,"3,474",694,"7,537","2,564",200,0,254,"6,762","1,064",121,784,"27,369","2,299","2,188",136,589,"1,137",235,548,877,"4,250","19,307",378,"2,679",339,568,"1,145",0,704,964,"1,626","3,591","1,208","2,740",917,"1,308","1,761",0,662,649,"1,827","6,088","1,300",54,"1,360","4,207",216,N/A,345,"1,864",22279,2022
Wyoming,28948,0,0,"2,132",57,"1,558","5,076",0,17,0,"1,063",425,503,"1,528",319,34,142,0,17,261,17,253,91,47,463,71,665,"1,176",729,769,14,21,67,463,845,164,236,65,"1,426",133,0,359,"1,382",210,"2,211","2,008",0,337,"1,225",0,369,N/A,4,1477,2022
Puerto Rico,26989,0,0,236,0,773,153,722,103,0,"8,793","1,642",96,0,553,0,176,0,0,0,0,0,924,0,150,0,0,0,0,0,61,"1,505",161,"2,847",240,832,327,0,0,"1,844",0,189,0,54,"3,612",0,0,391,328,0,277,0,N/A,4366,2022
United States,7859837,"104,481","42,291","176,783","62,338","841,065","246,177","96,578","36,471","62,622","469,577","238,445","59,236","57,073","341,425","145,489","72,943","86,141","92,939","103,318","18,886","185,657","209,750","157,838","140,559","57,113","147,737","30,360","53,116","92,184","44,326","245,729","57,585","571,041","237,275","31,390","189,534","71,218","125,363","259,752","32,047","116,932","25,910","150,886","447,363","78,976","17,261","275,906","269,232","36,026","112,329","35,164","54,669",1400401,2021
Alabama,115641,N/A,12,"1,338","1,271","3,369","2,070",532,43,275,"22,507","15,873","1,349",406,"3,399","3,146",444,606,"1,950","3,594",225,468,915,"3,065",499,"4,186","2,380",0,64,"1,150",0,"1,965","1,061","2,085","2,613",254,"1,702",851,416,"1,928",156,424,0,"7,418","10,616",436,21,"5,382","1,385",315,"1,477",0,534,12058,2021
Alaska,31378,517,N/A,977,0,"3,808",922,0,339,0,"2,163","1,551","1,316",503,417,218,0,452,"1,250",0,0,772,722,"1,024",179,0,0,867,9,535,276,15,"1,871",70,"1,396",0,12,929,337,345,0,141,221,449,"3,563",210,0,963,"1,840",0,110,89,205,3667,2021
Arizona,264948,"1,485","3,586",N/A,178,"69,432","10,035","2,705","1,554",498,"6,748","3,474","3,249","6,510","13,018","6,093","2,399","1,597",987,691,50,"1,463","1,806","3,642","10,891","1,890","2,730","4,728","2,288","5,437",75,"2,947","3,818","6,674","2,856","3,821","4,089",741,"7,318","4,989",242,"2,482","1,638","2,145","13,312","8,495",0,"1,835","21,816",123,"4,788","1,580",857,33388,2021
Arkansas,76108,950,145,940,N/A,"5,600","4,353",31,68,181,"1,655",708,250,0,"2,548","2,041","1,033","1,548",797,"2,557",144,130,490,"3,475","1,298","1,535","6,754",0,43,500,609,0,570,"1,352",724,0,"1,364","4,828",143,"1,188",185,387,134,"4,115","16,374",21,0,"1,030","1,876",75,716,643,0,5828,2021
California,433402,"2,710","3,049","27,449","2,576",N/A,"20,353","5,189","1,012","4,009","24,692","9,111","7,544","2,799","22,546","3,889","3,435","3,582","2,010","3,174",248,"5,860","15,274","9,419","6,053","1,821","5,200","2,049","2,596","14,826","1,034","9,063","3,316","32,723","9,845","1,143","9,529","4,505","20,219","12,156","1,446","4,148","2,092","3,405","33,577","6,111",778,"16,881","40,456",707,"6,455","1,338",968,185811,2021
Colorado,250031,"2,192","3,692","11,880",171,"33,648",N/A,"1,773",643,"2,406","18,661","6,419","2,679","1,128","10,241","1,793","1,136","3,862","1,940","4,088",310,"2,261","6,546","3,947","4,569","1,191","6,225",741,"2,350","3,440",480,"2,895","5,966","12,611","7,440",540,"5,514","3,624","5,642","3,669",16,"1,848","1,509","3,235","29,754","5,767",0,"6,432","6,608",105,"3,031","3,413",491,25442,2021
Connecticut,106618,0,0,661,38,"6,645","1,181",N/A,488,393,"6,534","1,255",37,353,789,888,490,169,282,825,134,"1,419","14,556",254,"1,361",0,318,0,66,246,"1,947","6,352",237,"40,790","2,366",0,"1,181",47,96,"3,119","3,421","1,771",216,556,"2,073",451,393,"1,536",665,19,0,0,"1,664",15186,2021
Delaware,42551,0,0,708,0,116,239,786,N/A,604,"1,650",130,70,0,212,201,0,0,142,15,0,"7,767","1,037",451,90,6,424,0,6,96,29,"4,008",86,"5,958",341,0,148,21,0,"12,349",6,572,0,98,"1,300",0,0,"2,588",258,0,39,0,319,4445,2021
District of Columbia,57746,342,196,674,37,"3,945",261,"1,102","3,560",N/A,"2,581","1,662",0,93,"1,736",159,145,503,202,324,"1,028","7,754","2,389",607,726,29,87,65,0,431,266,"2,709",0,"3,658","1,330",0,"1,610",374,426,"2,237",366,196,0,663,"1,498",24,0,"9,003","1,817",568,307,56,568,6939,2021
Florida,674740,"15,159","2,938","6,607","4,804","37,464","18,468","15,801","4,732","1,917",N/A,"44,723","4,179","1,309","34,061","17,980","3,735","3,099","8,385","5,914","1,483","16,166","20,586","24,506","10,156","4,522","11,010","1,041","2,009","9,332","3,079","36,417","2,765","91,758","21,207","3,610","22,443","3,768","5,937","29,817","2,784","8,393","1,282","18,772","28,243","7,284","1,499","29,153","9,611","3,165","9,909","1,758","13,795",121742,2021
Georgia,302512,"22,228","2,178","3,194","1,236","28,908","5,259",513,779,920,"49,163",N/A,"2,321",208,"5,472","3,897","1,619","2,588","7,048","7,437",721,"5,135","3,151","4,923","2,038","4,992","2,867",394,144,"3,464","1,677","10,793","1,262","14,038","14,739",85,"7,583","1,672","3,351","5,915",129,"14,448",0,"14,689","21,413",656,192,"10,553","3,852","1,068","1,580",20,"1,805",32891,2021
Hawaii,71626,"2,192",618,"1,517",0,"16,116","2,544",434,0,433,"2,527","3,835",N/A,"1,638",496,"1,251",0,462,0,616,144,"1,710",868,891,695,"1,048",605,681,44,"1,057",130,"2,046",134,"2,696",541,11,268,151,"1,396",904,0,632,8,415,"6,849",118,0,"5,691","6,655",138,421,0,0,11495,2021
Idaho,96388,350,"4,427","3,020",0,"27,193","6,211",305,0,0,"1,322",421,827,N/A,374,0,428,611,51,81,"1,610",467,0,548,706,20,642,"1,051",960,"1,432",551,10,857,90,371,782,958,184,"5,707","1,436",0,285,417,"1,206","3,089","4,470",0,539,"20,131",311,421,"1,516",115,5050,2021
Illinois,195177,614,618,"4,126",824,"20,488","6,060","1,778",66,"1,282","10,647","4,791",576,156,N/A,"18,681","9,580","1,184","1,886","1,790",345,"3,682","2,650","9,866","2,712","2,520","13,596",431,499,"2,242",425,"3,016",160,"8,092","3,739",140,"4,772","1,148","1,113","3,838","1,268","1,432",560,"2,849","15,480","1,032",51,"3,858","4,163",582,"13,130",639,879,51608,2021
Indiana,156417,"1,906",145,"1,433",419,"5,705","1,723",721,66,171,"10,336","2,782",622,328,"37,764",N/A,271,"1,078","13,369",258,55,"4,028","2,949","10,586","2,362",621,"3,180",184,738,"1,326",102,880,913,"4,290","2,832",153,"12,606",790,"3,271","3,388",175,"1,276",54,"2,684","6,591",335,319,"3,575","1,770",134,"4,411",742,"1,372",21642,2021
Iowa,77245,478,101,"1,440",358,"5,558","4,328",14,0,0,"4,548","1,306",351,592,"11,475","1,149",N/A,"1,188",228,471,0,199,10,293,"7,893",246,"3,912",293,"8,237","1,546",123,524,121,909,"1,039",412,"1,121",639,"3,244",148,0,426,"1,909",939,"3,903",794,0,731,868,77,"3,098",6,615,8678,2021
Kansas,102319,967,56,"1,980",606,"5,779","7,949",294,0,0,"2,926","5,167",64,345,"3,429","1,381","1,637",N/A,"1,242","1,850",0,402,125,"1,532","1,962",980,"24,292",256,"3,485",360,0,0,"2,005","3,064","2,283",337,489,"3,251",906,"2,010",0,878,339,"3,275","6,016",713,0,"2,991","2,625",10,"1,852",209,190,13453,2021
Kentucky,107693,"2,407",214,924,442,"2,599","3,223",511,66,391,"8,392","3,449",807,186,"4,912","11,437",756,"1,043",N/A,853,0,"1,499",301,"2,666",680,308,"2,097",443,582,164,56,864,"1,028","3,115","5,779",0,"11,730","1,054",275,"1,254",248,777,366,"10,552","6,892",460,289,"2,953","4,721","2,619","1,253",56,31,10743,2021
Louisiana,81944,"3,717","1,249","1,691","3,313","3,430","1,844","1,107",0,325,"6,004","1,987",710,392,"2,052",282,730,"2,268",928,N/A,67,"1,385",341,"1,423",815,"7,301",801,0,"2,378",131,536,"1,357",0,"1,357",834,77,738,738,421,122,"1,379",617,64,"2,053","21,290",305,243,995,"1,485",84,295,283,191,17732,2021
Maine,43492,20,127,121,90,"3,349","1,229","2,739",35,103,"4,322","1,180",245,0,485,144,376,0,623,83,N/A,"1,574","6,753",519,298,0,277,14,24,46,"5,696","1,010",71,"3,326",971,0,365,208,296,452,"1,270",246,294,467,876,0,739,989,522,197,384,337,0,2155,2021
Maryland,160016,906,"1,201","1,744",203,"8,406","2,776","1,999","6,322","20,950","7,927","8,937","1,110",70,"3,948","1,971",21,788,523,638,175,N/A,"2,299","1,861",866,846,684,154,625,268,357,"5,513",911,"11,578","5,139",0,"2,251",134,522,"14,139",216,"2,290",203,"1,088","6,974",829,49,"25,305","1,621","1,599",396,684,"1,000",31698,2021
Massachusetts,158311,"1,056",161,791,0,"15,040","2,756","12,795",210,"1,328","10,894","1,625",29,522,"3,962","1,199",715,67,"1,275",799,"1,685","4,156",N/A,"1,844","1,836",42,631,684,169,"1,440","11,387","8,539",498,"24,489","5,456",0,"3,128",610,"1,115","7,052","6,511","1,455",0,"2,758","5,618",772,"2,901","3,508","2,753",0,"2,015",35,"1,791",48923,2021
Michigan,143042,"2,032",711,"4,251",382,"11,944","4,890",832,"1,001",593,"13,202","5,340",239,498,"12,453","11,998","1,011",595,"1,441",745,22,"2,755","1,980",N/A,"3,258",253,"3,862",474,222,"1,095",0,"3,231",289,"6,385","3,711",382,"8,252","1,133","1,308","4,216",364,"2,117",43,"2,859","6,589","1,483",152,"3,169","2,192",464,"6,120",504,811,28998,2021
Minnesota,93286,104,69,"3,152",359,"5,202","5,148",264,41,211,"2,712",928,94,495,"6,163","1,252","5,523","1,417",889,496,111,363,"1,308","1,979",N/A,7,"3,191",822,"2,219",345,99,156,631,"2,047","1,278","10,092","2,539","1,026","1,385",901,67,"1,145","2,649",814,"4,889",471,56,"1,464","1,950",670,"13,688",405,116,15013,2021
Mississippi,59759,"3,795","1,068",676,"2,693","2,259","1,143",0,0,0,"2,512","2,978",545,0,"1,835",378,110,637,"1,234","6,704",117,81,581,783,268,N/A,"1,750",38,329,341,0,239,173,"1,804",830,156,746,204,264,459,0,"1,302",0,"7,328","7,027",518,32,"3,114",822,0,85,"1,801",413,9602,2021
Missouri,165921,"1,362",414,"4,226","7,506","13,726","5,441",151,0,553,"5,622","2,356",313,566,"28,457","2,986","5,661","21,602","1,565","1,450",64,436,"1,435","1,126",933,"2,718",N/A,502,"2,652","1,684",188,"1,918",657,"3,608","4,066",756,"3,664","3,089","2,222","1,807",242,"1,645",402,"2,107","12,919","1,651",111,"3,594","3,489",60,"1,804",415,526,17438,2021
Montana,44531,370,"1,101","2,012",185,"6,034","4,389",609,0,0,"1,566",547,153,"2,836",466,167,20,78,0,568,96,40,243,419,"1,089",50,262,N/A,257,"2,481",0,0,144,325,530,472,236,76,"1,857",200,0,875,308,27,"2,671",728,90,223,"6,758",0,"1,026","1,947",0,4534,2021
Nebraska,43287,134,17,"1,009",7,"4,798","2,940",0,313,0,"1,806",254,248,0,"1,463",686,"6,235","1,629",376,463,148,0,70,374,"2,695",83,"2,097",375,N/A,361,0,0,141,930,444,159,551,"1,336",442,99,0,161,"2,140",462,"2,619","1,047",0,836,715,0,873,"1,751",629,9495,2021
Nevada,132648,492,960,"5,792",226,"62,437","4,875",141,720,49,"6,372","1,603","2,894","1,601","2,577","1,058","1,574",354,218,244,0,494,580,"3,607","1,530",435,"2,251","1,178",108,N/A,41,787,"1,687","1,582","1,328",85,924,263,"2,496","1,588",212,884,343,719,"4,317","3,461",0,"1,635","4,071",0,795,"1,060",0,11184,2021
New Hampshire,53245,370,127,13,0,"2,984",668,"1,726",38,357,"2,758",187,37,0,542,158,96,0,0,0,"2,198",450,"24,752",0,300,388,795,198,0,553,N/A,538,185,"4,470",815,0,205,0,375,798,"1,314",119,0,831,"1,647",0,"1,322",837,81,0,13,0,280,2898,2021
New Jersey,195828,246,0,456,0,"8,629","4,712","2,061","2,044",926,"7,930","1,472",350,283,"2,083","4,098",90,206,"1,860","1,495",654,"3,042","2,749","2,119",385,0,"1,601",0,207,165,540,N/A,717,"91,421","8,587",274,713,527,354,"29,573",736,"2,491",290,"1,083","2,402",154,88,"2,854","1,498",636,988,39,"2,264",52493,2021
New Mexico,68019,484,254,"3,738",526,"9,947","8,806",131,0,344,"4,563",713,82,598,"1,229","1,508",0,244,340,"1,042",0,731,643,912,906,244,454,153,309,"1,244",100,856,N/A,"2,249",338,390,850,161,"1,486",516,42,264,0,518,"10,712",198,0,"1,321","6,064",492,433,884,90,6650,2021
New York,287249,"1,930","1,036","2,472","1,935","31,335","6,112","12,538","1,521","3,010","24,444","7,342",962,"1,007","8,093","1,334","1,552","2,595","2,365","2,486","1,742","7,749","21,608","3,351","2,538",151,"2,875",558,598,"1,926","2,045","38,222",805,N/A,"7,361",0,"4,962","2,134","1,990","21,804","2,118","4,591",292,"3,946","16,818","1,633","1,366","9,132","8,080",643,"2,142",0,"2,189",86584,2021
North Carolina,336681,"3,276","1,730","5,929","3,063","22,507","6,549","4,741",762,653,"37,071","17,698","1,591","1,520","8,920","3,678","1,260","1,105","2,410","4,005","1,002","15,645","9,378","8,406","2,360",695,"2,263",233,44,"2,153",948,"14,884",631,"32,759",N/A,224,"11,355","1,502","2,443","12,408",679,"23,541",299,"7,365","14,240","1,821","2,117","29,092","6,676",497,"2,443",110,941,42156,2021
North Dakota,37844,377,445,"1,419",0,"1,525",922,47,0,0,"1,272",0,102,0,559,152,755,237,28,"1,405",66,36,246,675,"15,897",223,732,"1,020","1,056",6,28,73,611,149,73,N/A,222,347,639,189,0,244,"1,423",5,"2,127",141,0,736,572,0,569,494,373,1826,2021
Ohio,184477,"2,258",197,"2,770","1,252","12,849","2,726","1,166",238,363,"14,785","3,769",715,584,"11,845","8,028","1,995",861,"12,704","1,579",66,"3,329","2,512","11,524","2,060","1,048","2,773",100,0,"2,415","1,037","3,192",620,"11,752","6,084",935,N/A,"1,800","1,631","14,181",301,"1,894",603,"5,221","7,248","1,435",32,"6,125","3,987","7,629","2,243",16,645,37684,2021
Oklahoma,108288,914,264,961,"7,390","12,613","5,189",19,85,670,"4,484","1,293","1,386",853,"3,251",674,"1,109","5,899",873,"1,915",0,914,747,"1,336","1,054",178,"3,106",539,592,"1,734",81,310,"1,262","1,332","1,256",485,672,N/A,"1,322",805,0,"1,009",0,"1,498","27,223","1,043",38,"1,971","5,754",71,"2,097",17,705,11543,2021
